CYCLE | PC         | INSTRUCTION | REGISTER WRITE              | DATA MEMORY
-----------------------------------------------------------------------------------------
1     | 0x00000000 | 0x00500093  | --                          | --
2     | 0x00000004 | 0x00700113  | --                          | --
3     | 0x00000008 | 0x002081b3  | --                          | --
4     | 0x0000000c | 0x00302023  | x1  <- 0x00000005 (5)       | --
5     | 0x00000010 | 0x00002203  | x2  <- 0x00000007 (7)       | --
6     | 0x00000014 | 0x001202b3  | x3  <- 0x0000000c (12)      | WRITE [0x00000000] <- 0x0000000c (12)
7     | 0x00000014 | 0x001202b3  | --                          | --
8     | 0x00000018 | 0x00502223  | x4  <- 0x0000000c (12)      | --
9     | 0x0000001c | 0x00528463  | --                          | --
10    | 0x00000020 | 0x06300313  | x5  <- 0x00000011 (17)      | WRITE [0x00000004] <- 0x00000011 (17)
11    | 0x00000000 | 0x00000000  | --                          | --
12    | 0x00000024 | 0x02a00313  | --                          | --
13    | 0x00000028 | 0x0000006f  | --                          | --
14    | 0x0000002c | 0x00000013  | --                          | --
15    | 0x00000000 | 0x00000000  | x6  <- 0x0000002a (42)      | --
16    | 0x00000028 | 0x0000006f  | --                          | --
17    | 0x0000002c | 0x00000013  | --                          | --
18    | 0x00000000 | 0x00000000  | --                          | --
19    | 0x00000028 | 0x0000006f  | --                          | --
20    | 0x0000002c | 0x00000013  | --                          | --
